RUN_ID,d_wheel,A_front,HM_VA,AWD,iAG,m_curb,Wheelbase,i_ges_P4,Gear_Ratio,No_Gears,shiftDelay,P0,P2,P3,P4,P4_DM,n_ICE_idle,n_ICE_max,tq_ICE_idle,tq_ICE_max,Pwr_ICE_max_kW,tq_P0_max,Pwr_P0_max_kW,n_P0_max,Pwr_P0_nmax_red_perc,tq_P2_max,Pwr_P2_max_kW,n_P2_max,Pwr_P2_nmax_red_perc,tq_P3_max,Pwr_P3_max_kW,n_P3_max,Pwr_P3_nmax_red_perc,tq_P4_max,Pwr_P4_max_kW,n_P4_max,Pwr_P4_nmax_red_perc
69,0.65,2.63465,1,0,4,1525,2.67,0,"[15.3, 9.03, 5.74, 4.01, 3.11, 2.49, 2.02]",7,0.35,1,0,0,0,0,750,6500,48,240,115,55,15,18000,0.04,0,0,0,0,0,0,0,0,0,0,0,0
70,0.65,2.661905,1,0,4,1595,2.67,0,"[3.5, 2.09, 1.43, 0.93, 0.97, 0.78, 0.65]",7,0.35,1,0,0,0,0,750,6500,48,240,115,55,14,18000,0.04,0,0,0,0,0,0,0,0,0,0,0,0
71,0.62,2.591541,1,0,4,1620,2.67,0,"[3.5, 2.09, 1.43, 0.93, 0.97, 0.78, 0.65]",7,0.35,1,0,0,0,0,750,6500,64,320,150,55,14,18000,0.04,0,0,0,0,0,0,0,0,0,0,0,0
72,0.62,2.591541,1,1,3.8,1690,2.67,0,"[3.5, 2.09, 1.43, 0.93, 0.97, 0.78, 0.65]",7,0.35,1,0,0,0,0,750,6500,64,320,150,55,14,18000,0.04,0,0,0,0,0,0,0,0,0,0,0,0
73,0.62,2.591541,1,1,3.8,2025,2.851,3.8,"[4.71, 3.14, 2.11, 1.67, 1.28, 1.0, 0.84, 0.67]",8,0.35,0,1,0,1,0,750,6500,60,300,135,0,0,0,0,265,80,10000,0.04,0,0,0,0,166,50,15000,0.04
74,0.62,2.591541,0,0,4,1840,2.856,0,"[5.0, 3.2, 2.14, 1.72, 1.3, 1.0, 0.83, 0.64]",8,0.35,1,0,0,0,0,750,7000,100,500,275,55,8,18000,0.04,0,0,0,0,0,0,0,0,0,0,0,0
75,0.62,2.591541,1,1,3.8,1900,2.856,0,"[5.0, 3.2, 2.14, 1.72, 1.3, 1.0, 0.83, 0.64]",8,0.1,1,0,0,0,0,750,7000,100,500,275,25,8,18000,0.04,0,0,0,0,0,0,0,0,0,0,0,0
76,0.62,2.591541,0,0,4,1845,2.975,0,"[4.71, 3.14, 2.11, 1.67, 1.28, 1.0, 0.84, 0.67]",8,0.1,0,1,0,0,0,750,6500,58,290,135,0,0,0,0,265,83,10000,0.04,0,0,0,0,0,0,0,0
77,0.62,2.591541,1,1,3.8,1935,2.975,3.8,"[4.71, 3.14, 2.11, 1.67, 1.28, 1.0, 0.84, 0.67]",8,0.35,0,1,0,1,0,750,6500,58,290,135,0,0,0,0,265,83,10000,0.04,0,0,0,0,166,50,15000,0.04
78,0.62,2.591541,0,0,4,1700,2.975,0,"[5.25, 3.36, 2.17, 1.72, 1.32, 1.0, 0.82, 0.64]",8,0.35,1,0,0,0,0,750,6500,70,350,180,55,8,18000,0.04,0,0,0,0,0,0,0,0,0,0,0,0
79,0.62,2.97792,0,0,4,1975,2.975,0,"[4.71, 3.14, 2.11, 1.67, 1.28, 1.0, 0.84, 0.67]",8,0.35,0,1,0,0,0,750,6500,60,300,120,0,0,0,0,265,80,10000,0.04,0,0,0,0,0,0,0,0
